"action_plan_id"	"co2_target_CoM2030"	"reduction_type_CoM2030"	"emission_inventory_id"	"bei_flag"	"inventory_year"	"population_in_the_inventory_year"	"emission_measure"	"aux"	"last_mei_year"	"last_mei_population"	"last_mei_emission_measure"	"population2030"	"country"	"country_code"	"natemis_base"	"natemis.05"	"year"	"natemis_last"	"emissions.2005_fx"	"emissions.trend"	"baseline_emissions_2005"	"emis_target"	"organisation_id"	"organisation_name"
"7941"	0.4	"absolute"	"7329"	"TRUE"	2007	7850	28115.67123	"7941 2007 "	NA	NA	NA	7850	"it"	"ITA"	503156824.739291	506738030.205241	2005	NA	1.0071174736978	NA	28315.7837804755	16869.402738	"18449"	"Comelico"
"7953"	0.888888888888889	"per_capita"	"70951"	"TRUE"	1990	58394	141875.5564572	"7953 1990 "	2016	67620	141653.92477804	76259	"fi"	"FIN"	82435273.5456557	95647756.078145	2005	97882281.8951142	1.16027705088128	2.1873834790019	164614.952238301	20586.7575052795	"18750"	"Vaasa"
"8022"	0.44	"absolute"	"7376"	"TRUE"	2008	8942	46336.68	"8022 2008 "	NA	NA	NA	8942	"it"	"ITA"	496269954.012513	506738030.205241	2005	NA	1.02109351192449	NA	47314.0833121212	25948.5408	"18413"	"Isola Vicentina"
"8026"	0.4	"absolute"	"7491"	"TRUE"	2005	4859	14262.434	"8026 2005 "	NA	NA	NA	4859	"it"	"ITA"	506738030.205241	506738030.205241	2005	NA	1	NA	14262.434	8557.4604	"18851"	"CUPRAMONTANA"
"8035"	0.4	"absolute"	"7544"	"TRUE"	2011	25957	52520.886	"8035 2011 "	NA	NA	NA	25957	"es"	"ESP"	315224017.370293	377629623.667267	2005	NA	1.19797224468359	NA	62918.5636941907	31512.5316	"18863"	"Candelaria"
"8044"	0.4	"absolute"	"7555"	"TRUE"	2008	2721	29392.299	"8044 2008 "	NA	NA	NA	2721	"it"	"ITA"	496269954.012513	506738030.205241	2005	NA	1.02109351192449	NA	30012.2858094446	17635.3794	"18273"	"CASTEGNERO"
"8115"	0.3	"per_capita"	"72536"	"TRUE"	2013	258265	718942.18	"8115 2013 "	2017	424909	670461.609	6e+05	"tr"	"TUR"	337732548.770961	260459033.586548	2005	435140620.535998	0.771199087959931	2.28841777945156	554447.553511925	1169170.09892939	"18262"	"Nilüfer"
"8277"	0.615384615384615	"absolute"	"3401"	"TRUE"	2014	1896	3796.05907665	"8277 2014 "	NA	NA	NA	1896	"it"	"ITA"	380346060.548761	506738030.205241	2005	NA	1.33230781850119	NA	5057.5191873132	1460.02272178846	"18599"	"Acquappesa"
"8299"	0.487179487179487	"absolute"	"60313"	"TRUE"	2011	117134	578685.732638	"8299 2011 "	2018	118284	588065.62899	118284	"be"	"BEL"	108342135.196131	117369420.864825	2005	106958136.960349	1.08332202104336	1.98722566955805	626902.997430355	296761.914173333	"18748"	"Brugge"
"8319"	0.4	"absolute"	"6114"	"TRUE"	2009	17090	50379.9747	"8319 2009 "	NA	NA	NA	17090	"es"	"ESP"	319708982.177132	377629623.667267	2005	NA	1.18116676327237	NA	59507.1516501429	30227.98482	"19452"	"SAN MIGUEL DE ABONA"
"8332"	0.4	"absolute"	"72219"	"TRUE"	2011	5402	88781.483405	"8332 2011 "	2017	5544	79481.2676106	5544	"be"	"BEL"	108342135.196131	117369420.864825	2005	106285840.966735	1.08332202104336	1.98102036455463	96178.9360335321	53268.890043	"18618"	"Machelen"
"8333"	0.327272727272727	"absolute"	"72497"	"TRUE"	2006	2346	14029.6176154	"8333 2006 "	NA	NA	NA	2346	"be"	"BEL"	116542964.970968	117369420.864825	2005	NA	1.00709142670313	NA	14129.1076203926	9438.10639581454	"19300"	"Tellin"
"8335"	1	"absolute"	"4358"	"TRUE"	2013	5449	8553.76237	"8335 2013 "	NA	NA	NA	5449	"ba"	"BIH"	22952727.5522537	17021168.7947446	2005	NA	0.741574993908438	NA	6343.25627742697	0	"18959"	"Cajnice"
"8351"	0.327586206896552	"absolute"	"4535"	"TRUE"	2011	1782	3466.4965	"8351 2011 "	NA	NA	NA	1782	"it"	"ITA"	442067122.078198	506738030.205241	2005	NA	1.14629205588287	NA	3973.61739969577	2330.92006034483	"19196"	"Savoca"
"8375"	0.4	"absolute"	"5051"	"TRUE"	2002	4744	22926.16598	"8375 2002 "	NA	NA	NA	4744	"it"	"ITA"	462689082.861438	506738030.205241	2005	NA	1.09520204598602	NA	25108.7838879111	13755.699588	"19640"	"Gambassi Terme"
"8392"	0.4	"absolute"	"5253"	"TRUE"	2013	26000	67348.38672	"8392 2013 "	NA	NA	NA	26000	"hu"	"HUN"	53278333.1380743	63430579.2513105	2005	NA	1.19055112116451	NA	80181.6973181168	40409.032032	"19172"	"Jászberény Városi Önkormányzat"
"8472"	0.327272727272727	"absolute"	"72995"	"TRUE"	2006	4749	30826.271434	"8472 2006 "	NA	NA	NA	4749	"be"	"BEL"	116542964.970968	117369420.864825	2005	NA	1.00709142670313	NA	31044.8736784051	20737.6735101455	"19170"	"Houffalize"
"8480"	0.457142857142857	"absolute"	"66200"	"TRUE"	2014	4345	23995.31357	"8480 2014 "	2019	3883	20656.37191	3883	"hr"	"HRV"	21090675.5978531	26873027.7342366	2005	22397548.4701499	1.27416628308351	2.06196448597549	30574.0195029102	13026.0273665714	"19236"	"Novigrad-Cittanova"
"8488"	0.45	"absolute"	"6041"	"TRUE"	2008	4370	25344.559	"8488 2008 "	NA	NA	NA	4370	"it"	"ITA"	496269954.012513	506738030.205241	2005	NA	1.02109351192449	NA	25879.1647574874	13939.50745	"18288"	"SOSSANO"
"8489"	0.47	"absolute"	"6046"	"TRUE"	2008	913	3084.681	"8489 2008 "	NA	NA	NA	913	"it"	"ITA"	496269954.012513	506738030.205241	2005	NA	1.02109351192449	NA	3149.74775545674	1634.88093	"18284"	"ASIGLIANO VENETO"
"8506"	0.4	"absolute"	"30526"	"TRUE"	2014	78900	104236.23083	"8506 2014 "	NA	NA	NA	78900	"ge"	"GEO"	10520210.095947	5741232.58042	2005	NA	0.545733642965157	NA	56885.2179798129	62541.738498	"18896"	"Bolnisi"
"8518"	0.4	"absolute"	"28531"	"TRUE"	2010	41300	118136.36324	"8518 2010 "	2012	41430	173436.2128992	41430	"ua"	"UKR"	282295310.271422	305653820.58122	2005	291119457.72894	1.08274494637314	2.03125856908155	127911.550281012	70881.817944	"18653"	"Kuznetsovsk"
"8545"	0.272727272727273	"absolute"	"65547"	"TRUE"	2006	2561	20100.863552	"8545 2006 "	2018	2805	18309.94601	2805	"be"	"BEL"	116542964.970968	117369420.864825	2005	106958136.960349	1.00709142670313	1.91775712920118	20243.4073525487	14618.809856	"19313"	"Tenneville"
"8556"	0.3	"absolute"	"28615"	"TRUE"	2015	10200	23937.27	"8556 2015 "	NA	NA	NA	10200	"es"	"ESP"	295156603.747067	377629623.667267	2005	NA	1.2794212254552	NA	30625.851317452	16756.089	"18268"	"Calasparra"
"8599"	0.5	"absolute"	"30497"	"TRUE"	2014	51700	155100.56778	"8599 2014 "	NA	NA	NA	51700	"ge"	"GEO"	10520210.095947	5741232.58042	2005	NA	0.545733642965157	NA	84643.5978805437	77550.28389	"18879"	"Telavi"
"8628"	0.4	"absolute"	"7057"	"TRUE"	2011	1497	5129.43883	"8628 2011 "	NA	NA	NA	1497	"it"	"ITA"	442067122.078198	506738030.205241	2005	NA	1.14629205588287	NA	5879.83498196613	3077.663298	"18120"	"Sant'Alessio Siculo"
"8630"	0.4	"absolute"	"7069"	"TRUE"	2010	1254	4819.79529	"8630 2010 "	NA	NA	NA	1254	"it"	"ITA"	457870049.406016	506738030.205241	2005	NA	1.10672893075802	NA	5334.20688777424	2891.877174	"18922"	"Valstrona"
"8653"	0.4	"absolute"	"29999"	"TRUE"	2005	146966	1299410.742	"8653 2005 "	2014	159766	980700.138	159766	"ie"	"IRL"	47677923.0091075	47677923.0091075	2005	37620247.6608638	1	1.78904963317461	1299410.742	779646.4452	"18935"	"Tipperary County Council"
"8660"	0.25	"absolute"	"7128"	"TRUE"	2005	16325	20051.734	"8660 2005 "	NA	NA	NA	16325	"ro"	"ROU"	110288120.185715	110288120.185715	2005	NA	1	NA	20051.734	15038.8005	"19218"	"<U+0218>IMLEU SILVANIEI"
"8698"	0.24	"absolute"	"70851"	"TRUE"	2007	10756	40773.60648	"8698 2007 "	NA	NA	NA	10756	"it"	"ITA"	503156824.739291	506738030.205241	2005	NA	1.0071174736978	NA	41063.8115516858	30987.9409248	"18347"	"Valdobbiadene"
"8701"	0.4	"absolute"	"7638"	"TRUE"	2008	4544	20689.81557	"8701 2008 "	NA	NA	NA	4544	"it"	"ITA"	496269954.012513	506738030.205241	2005	NA	1.02109351192449	NA	21126.2364414413	12413.889342	"18300"	"ANGUILLARA VENETA"
"8714"	0.545454545454545	"absolute"	"28132"	"TRUE"	2006	147041	1031280.349	"8714 2006 "	2013	153191	952108.224	153191	"be"	"BEL"	116542964.970968	117369420.864825	2005	109905537.345022	1.00709142670313	1.94304737632512	1038593.59800532	468763.795	"19816"	"Wallonie picarde Energie Positive"
"8718"	0.438461538461538	"absolute"	"72849"	"TRUE"	2011	22997	115378.34	"8718 2011 "	NA	NA	NA	22997	"be"	"BEL"	108342135.196131	117369420.864825	2005	NA	1.08332202104336	NA	124991.896473428	64789.3755384615	"19002"	"Maldegem"
"8770"	0.243589743589744	"absolute"	"27899"	"TRUE"	2011	8751	20085.61597	"8770 2011 "	NA	NA	NA	8751	"it"	"ITA"	442067122.078198	506738030.205241	2005	NA	1.14629205588287	NA	23023.9820239251	15192.9659260256	"18381"	"Villafranca Tirrena"
"8801"	0.4	"absolute"	"61100"	"TRUE"	2011	11251	76559.4128	"8801 2011 "	NA	NA	NA	11251	"be"	"BEL"	108342135.196131	117369420.864825	2005	NA	1.08332202104336	NA	82938.4978043888	45935.64768	"19243"	"Nazareth"
